name,brand,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water_per_100g,portion_name,portion_grams,source,external_id
Piña rebanada,,50,0.5952,13.0952,0.119,1.4286,0,rebanada,84,SMAE 2014,SMAE2014:FRUTAS:170
Piñón,,640,12,20,62,0,0,cucharada,10,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:191
Piñón,,640,12,20,62,0,0,cucharada,10,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:88
Pipián,,513.3333,6,51.3333,31.3333,0,0,,,SMAE 2014,SMAE2014:AZUCARES_CON_GRASA:69
Pistache,,561.5385,20,19.2308,48.4615,0,0,pieza,0.72,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:192
Pistache,,561.5385,20,19.2308,48.4615,0,0,pieza,0.72,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:89
Pistache tostado,,569.2308,20,24.6154,47.6923,0,0,pieza,0.72,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:193
Pistache tostado,,569.2308,20,24.6154,47.6923,0,0,pieza,0.72,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:90
Pitahaya,,48.1481,1.5741,10.3704,0.5556,2.037,0,pieza,54,SMAE 2014,SMAE2014:FRUTAS:171
Pizza,,365,0,47,12.5,0,0,rebanada,50,SMAE 2014,SMAE2014:PLATILLOS_PLATOS_FUERTES:80
Pizza vegetariana,,240,0,34,5,0,0,rebanada,50,SMAE 2014,SMAE2014:PLATILLOS_PLATOS_FUERTES:86
Plátano,,88.8889,1.1111,22.963,0.3704,2.5926,0,pieza,108,SMAE 2014,SMAE2014:FRUTAS:172
Plátano deshidratado,,345,4,88.5,2,10,0,taza,80,SMAE 2014,SMAE2014:FRUTAS:173
Plátano dominico,,94.7368,0.1754,24.5614,0.1754,2.1053,0,pieza,19,SMAE 2014,SMAE2014:FRUTAS:174
Plátano machacado,,89.2857,1.0714,22.8571,0.3571,2.6786,0,taza,224,SMAE 2014,SMAE2014:FRUTAS:175
Plátano macho,,193.8776,1.0204,23.6735,0.4082,2.0408,0,pieza,196,SMAE 2014,SMAE2014:FRUTAS:176
